,link,category,name,img_url,brand,short_desc,priority_price,priority_store,num_of_product,num_of_store,lowest_price,highest_price
1432,https://www.sosanhgia.com/p78951-truyen-co-tich-hoang-tu-va-cong-chua-hoang-tu-va-phu-thuy-bon-mat.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Hoa Mai']",Truyện Cổ Tích Hoàng Tử Và Công Chúa - Hoàng Tử Và Phù Thủy Bốn Mắt,https://img.sosanhgia.com/images/500x0/8f5642e36f274b91a9e1a5aa0a50a176/truyen-co-tich-hoang-tu-va-cong-chua-hoang-tu-va-phu-thuy-bon-mat.jpeg,Hoa Mai,"Truyện cổ tích sẽ đưa trẻ em vào thế giới huyền ảo, bay bổng,
trong lành và đẹp đẽ. Đó là chất xúc tác kích thích trí tưởng
tượng, nuôi dưỡng cảm xúc, thẩm mỹ, hướng các em vươn tới những ước
mơ, những khát vọng tươi sáng, lành mạnh.. Bộ sách Truyện Cổ Tích
Hoàng Tử Và Công Chúa với nhiều hình ảnh đẹp và sinh động nhằm giúp
trẻ thêm yêu thích những câu chuyện cổ tích đầy ...",15.600,Shopee,4.0,4.0,15.600,24.000
1433,https://www.sosanhgia.com/p172639-truyen-co-tich-noi-tieng-the-gioi-co-be-khan-choang-do-song-ngu-anh-viet.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Nhiều Tác Giả']",Truyện Cổ Tích Nổi Tiếng Thế Giới - Cô Bé Khăn Choàng Đỏ (Song Ngữ Anh - Việt),https://img.sosanhgia.com/images/500x0/e7c519224f2f4dad97e5195b895267d6/truyn-c-tch-ni-ting-th-gii-c-b-khn-chong-song-ng-anh-vit.jpeg,Nhiều Tác Giả,"Mỗi cuốn sách là một câu chuyện kể thú vị, có hình dán và trò chơi hấp dẫn. Sẽ có một câu chuyện hấp dẫn được minh họa đẹp ơi là đẹp. Lại có hơn 50 hình dán đáng yêu....",22.750,Tiki,5.0,4.0,22.750,35.000
1434,https://www.sosanhgia.com/p78939-truyen-co-tich-hoang-tu-va-cong-chua-chang-tho-san-va-nang-cong-chua.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Hoa Mai']",Truyện Cổ Tích Hoàng Tử Và Công Chúa - Chàng Thợ Săn Và Nàng Công Chúa,https://img.sosanhgia.com/images/500x0/13f6778e72594cc59443dc68a4c3723d/truyen-co-tich-hoang-tu-va-cong-chua-chang-tho-san-va-nang-cong-chua.jpeg,Hoa Mai,"Truyện cổ tích sẽ đưa trẻ em vào thế giới huyền ảo, bay bổng,
trong lành và đẹp đẽ. Đó là chất xúc tác kích thích trí tưởng
tượng, nuôi dưỡng cảm xúc, thẩm mỹ, hướng các em vươn tới những ước
mơ, những khát vọng tươi sáng, lành mạnh.. Bộ sách Truyện Cổ Tích
Hoàng Tử Và Công Chúa với nhiều hình ảnh đẹp và sinh động nhằm giúp
trẻ thêm yêu thích những câu chuyện cổ tích đầy ...",15.600,Shopee,,,,
1435,https://www.sosanhgia.com/p78940-truyen-co-tich-hoang-tu-va-cong-chua-chiec-ao-tang-hinh.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Hoa Mai']",Truyện Cổ Tích Hoàng Tử Và Công Chúa - Chiếc Áo Tàng Hình,https://img.sosanhgia.com/images/500x0/c07e1ae5de2041e08ae624578f97d2ea/truyen-co-tich-hoang-tu-va-cong-chua-chiec-ao-tang-hinh.jpeg,Hoa Mai,"Truyện cổ tích sẽ đưa trẻ em vào thế giới huyền ảo, bay bổng,
trong lành và đẹp đẽ. Đó là chất xúc tác kích thích trí tưởng
tượng, nuôi dưỡng cảm xúc, thẩm mỹ, hướng các em vươn tới những ước
mơ, những khát vọng tươi sáng, lành mạnh.. Bộ sách Truyện Cổ Tích
Hoàng Tử Và Công Chúa với nhiều hình ảnh đẹp và sinh động nhằm giúp
trẻ thêm yêu thích những câu chuyện cổ tích đầy huyền ảo ...",15.600,Shopee,,,,
1436,https://www.sosanhgia.com/p170531-co-tich-viet-nam-song-ngu-su-tich-nui-ngu-hanh.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Nhiều Tác Giả']",Cổ Tích Việt Nam Song Ngữ - Sự Tích Núi Ngũ Hành,https://img.sosanhgia.com/images/500x0/a22a37ff14334f6abe9bb953c5a2524d/c-tch-vit-nam-song-ng-s-tch-ni-ng-hnh.jpeg,Nhiều Tác Giả,"Cùng với những lời ru ngọt ngào của mẹ, những câu chuyện cổ tích của bà đã góp phần nuôi dưỡng tâm hồn trẻ thơ. Bộ truyện cổ tích Việt Nam song ngữ không chỉ đem đến cho các bé một thế giới cổ tích đầy màu nhiệm mà còn giải thích cho các bé hiểu thêm nhưng những hiện tượng,...",30.400,Tiki,,,,
1437,https://www.sosanhgia.com/p170841-truyen-co-tich-ve-nhung-nang-cong-chua-cong-chua-thong-minh.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Nhiều Tác Giả']",Truyện Cổ Tích Về Những Nàng Công Chúa - Công Chúa Thông Minh,https://img.sosanhgia.com/images/500x0/19055ed8d9dc46f08869bfca7139f2f0/truyn-c-tch-v-nhng-nng-cng-cha-cng-cha-thng-minh.jpeg,Nhiều Tác Giả,"Với tuyến nhân vật đa dạng, hệ thống cốt truyện đặc sắc, truyện cổ tích được yêu thích từ thế hệ này sang thế hệ khác, truyền tải nhiều thông điệp ý nghĩa khác nhau mà bạn đọc, dù ở lứa tuổi nào hay thuộc giới tính nào cũng có thể tìm ở đó rất nhiều bài học. Các bài học đó giúp...",30.720,Shopee,3.0,3.0,30.720,38.400
1438,https://www.sosanhgia.com/p172695-co-tich-trang-non-ban-moi.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Nhiều Tác Giả']",Cổ Tích Trăng Non - Bạn Mới,https://img.sosanhgia.com/images/500x0/f7e8ac6dc34d474790d408dd5375dd32/c-tch-trng-non-bn-mi.jpeg,Nhiều Tác Giả,"Từ thở ấu thơ, các em nhỏ đã được biết đến những câu chuyện cổ tích qua lời kể của bà. của mẹ. Đó là một thế giới vô cùng hấp dẫn, lôi cuốn với biết bao tình tiết li kỳ, những bài học giáo dục nhẹ nhàng nhưng tác động mạnh mẽ trong việc bồi dưỡng tâm hồn trẻ thơ...",16.000,Tiki,4.0,3.0,10.720,13.500
1439,https://www.sosanhgia.com/p170840-truyen-co-tich-ve-nhung-nang-cong-chua-cong-chua-lac-quan.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Nhiều Tác Giả']",Truyện Cổ Tích Về Những Nàng Công Chúa - Công Chúa Lạc Quan,https://img.sosanhgia.com/images/500x0/fc344a959fd34fb3969481baa74b93d2/truyn-c-tch-v-nhng-nng-cng-cha-cng-cha-lc-quan.jpeg,Nhiều Tác Giả,"Với tuyến nhân vật đa dạng, hệ thống cốt truyện đặc sắc, truyện cổ tích được yêu thích từ thế hệ này sang thế hệ khác, truyền tải nhiều thông điệp ý nghĩa khác nhau mà bạn đọc, dù ở lứa tuổi nào hay thuộc giới tính nào cũng có thể tìm ở đó rất nhiều bài học. Các bài học đó giúp chúng...",29.280,Shopee,3.0,3.0,29.280,38.400
1440,https://www.sosanhgia.com/p158285-nhung-cau-chuyen-ve-meo.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Nhiều Tác Giả']",Những Câu Chuyện Về Mèo,https://img.sosanhgia.com/images/500x0/b185410432cc46b088df1f30508c03bc/nhng-cu-chuyn-v-mo.jpeg,Nhiều Tác Giả,"Trong lĩnh vực văn học, các dòng sách được phát triển cả bề rộng lẫn chiều sâu, mang độc giả vào những chuyến viễn du diệu vợi nhất của thế giới hư cấu...",37.000,Shopee,10.0,5.0,37.000,52.000
1441,https://www.sosanhgia.com/p172641-truyen-co-tich-hay-ve-tinh-kien-tri-va-long-dung-cam.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Nhiều Tác Giả']",Truyện Cổ Tích Hay Về Tính Kiên Trì Và Lòng Dũng Cảm,https://img.sosanhgia.com/images/500x0/12ec734d81d0489eb3dabc1a06fa1191/truyn-c-tch-hay-v-tnh-kin-tr-v-lng-dng-cm.jpeg,Nhiều Tác Giả,"Truyện cổ tích là những truyện truyền miệng dân gian kể lại những câu chuyện tưởng tượng xoay quanh một số nhân vật quen thuộc như nhân vật thông minh, ngốc nghếch, nhân vật dũng sĩ, người mồ côi, người em út, người con riêng, người nghèo khổ,...",29.250,Tiki,,,,
1442,https://www.sosanhgia.com/p109070-truyen-song-ngu-anh-viet-aladdin-va-cay-den-than.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Nhiều Tác Giả']",Truyện song ngữ Anh Việt - Aladdin và cây đèn thần,https://img.sosanhgia.com/images/500x0/4fd0f971cc1b45ff8ea708abc0f4d0ee/truyen-co-tich-song-ngu-anh-viet-aladdin-va-cay-den-than.jpeg,Nhiều Tác Giả,Thế giới vô cùng rộng lớn và đang chờ bạn khám phá. Bạn có tò mò tại sao lại như thế này mà không phải như thế kia? Bộ truyện tranh song ngữ Anh – Việt gồm...,60.000,Lazada,,,,
1443,https://www.sosanhgia.com/p134061-co-tich-viet-nam-cho-be-mau-giao-su-tich-con-khi.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Nhiều Tác Giả']",Cổ Tích Việt Nam Cho Bé Mẫu Giáo - Sự Tích Con Khỉ,https://img.sosanhgia.com/images/500x0/bb5c34bb16ac49ee80c6d4a16b09c88d/co-tich-viet-nam-cho-be-mau-giao-su-tich-con-khi.jpeg,Nhiều Tác Giả,Một cô bé nghèo khổ gặp được phép lạ và trở nên xinh đẹp...,17.600,FAHASA,,,,
